"artifactId","numIncoming"
"org.apache.lucene:lucene-core","28357"
"org.apache.maven:maven-model","28223"
"org.jetbrains.kotlin:kotlin-dom-api-compat","28187"
"org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven","28116"
"org.kohsuke.metainf-services:metainf-services","27779"
"org.springframework.data:spring-data-mongodb","27683"
"com.oracle.oci.sdk:oci-java-sdk-common","27481"
"org.apereo.cas:cas-server-core-services","27475"
"io.swagger:swagger-models","27471"
"org.jetbrains.kotlinx:kotlinx-coroutines-jdk8","27438"
"software.amazon.awssdk:s3","27326"
"org.osgi:osgi.core","27212"
"com.lihaoyi:ammonite-util_2.12","27199"
"org.apache.bval:bval-jsr","27156"
"com.googlecode.json-simple:json-simple","27088"
"org.kie:kie-api","27082"
"org.mapstruct:mapstruct","27039"
"com.google.truth:truth","26990"
"org.wso2.orbit.javax.activation:activation","26902"
"org.osgi:org.osgi.annotation.versioning","26882"
"org.apache.cxf:cxf-core","26858"
"io.grpc:grpc-netty","26794"
"commons-jexl:commons-jexl","26730"
"com.android.support:appcompat-v7","26721"
"org.eclipse.jetty:jetty-servlets","26653"
"com.sun.jersey:jersey-client","26648"
"software.amazon.awssdk:aws-query-protocol","26553"
"org.springframework.integration:spring-integration-jmx","26531"
"commons-httpclient:commons-httpclient","26528"
"org.springframework.security:spring-security-config","26519"
"org.jetbrains.kotlin:kotlin-android-extensions-runtime","26431"
"software.amazon.awscdk:iam","26345"
"io.netty:netty-transport-native-epoll","26245"
"org.opendaylight.yangtools:yang-common","26194"
"org.specs2:specs2-core_2.11","26191"
"com.huaweicloud.sdk:huaweicloud-sdk-core","26130"
"javax:javaee-api","26055"
"org.flywaydb:flyway-core","25990"
"com.beust:jcommander","25886"
"org.specs2:specs2-core_2.12","25840"
"org.eclipse.jgit:org.eclipse.jgit","25813"
"com.google.inject.extensions:guice-servlet","25769"
"org.seleniumhq.selenium:selenium-java","25692"
"com.nimbusds:nimbus-jose-jwt","25618"
"org.apache.wicket:wicket-core","25586"
"xml-apis:xml-apis","25579"
"io.grpc:grpc-netty-shaded","25572"
"io.streamnative:pulsar-io-core","25474"
"org.wso2.uri.template:wso2-uri-templates","25394"
"io.opentracing:opentracing-api","25336"
"org.osgi:org.osgi.annotation.bundle","25290"
"com.typesafe.akka:akka-stream_2.12","25137"
"org.junit.platform:junit-platform-runner","25049"
"org.wso2.carbon.identity.framework:org.wso2.carbon.identity.entitlement.stub","24962"
"net.minidev:json-smart","24924"
"org.apache.hadoop:hadoop-client","24765"
"io.opentelemetry:opentelemetry-api","24748"
"org.apache.groovy:groovy","24714"
"jakarta.persistence:jakarta.persistence-api","24674"
"org.jboss:jboss-transaction-spi","24662"
"org.jboss.errai:errai-common","24595"
"com.googlecode.json-simple.wso2:json-simple","24594"
"org.springframework.boot:spring-boot-devtools","24562"
"com.lihaoyi:acyclic_2.12","24425"
"androidx.recyclerview:recyclerview","24240"
"org.scala-js:scalajs-test-interface_2.12","24181"
"org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt","24049"
"org.glassfish.jersey.media:jersey-media-json-jackson","24022"
"org.eclipse.jetty.toolchain:jetty-test-helper","24000"
"io.netty:netty-codec","23984"
"org.wso2.carbon.identity.framework:org.wso2.carbon.identity.testutil","23820"
"org.pac4j:pac4j-core","23757"
"io.prometheus:simpleclient","23686"
"org.apache.tomcat:tomcat-coyote","23650"
"com.github.bumptech.glide:glide","23627"
"org.hamcrest:hamcrest-junit","23563"
"org.mongodb:mongo-java-driver","23531"
"io.airlift:units","23494"
"io.micronaut:micronaut-inject","23469"
"org.apache.cxf:cxf-rt-transports-http","23450"
"cn.hutool:hutool-all","23359"
"org.springframework.boot:spring-boot-starter-log4j2","23295"
"org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.authentication.framework","23071"
"org.neo4j:neo4j-kernel","22986"
"org.xwiki.commons:xwiki-commons-tool-test-component","22944"
"com.yahoo.vespa:container-dev","22931"
"javax.servlet:jstl","22878"
"org.apache.velocity:velocity","22823"
"org.threeten:threetenbp","22785"
"org.finos.legend.pure:legend-pure-runtime-java-engine-compiled","22736"
"org.apache.camel:camel-test-spring-junit5","22693"
"org.immutables:value","22664"
"com.daml:daml-lf-language_2.13","22659"
"com.google.http-client:google-http-client","22620"
"com.jcraft:jsch","22559"
"org.apache.commons:commons-configuration2","22385"
"org.apache.cxf:cxf-rt-frontend-jaxws","22340"
"org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt.stub","22317"
"androidx.databinding:viewbinding","22282"
"org.slf4j:slf4j-nop","22246"
"org.drools:drools-core","22216"
"org.apache.camel:camel-test","22164"
"org.apereo.cas:cas-server-core-services-api","22154"
